# id	category	locale	text	aliases
# Bilingual corpus. English is the universal fallback; Spanish is used for es locales.
country_172	countries	es	TAILANDIA	
country_173	countries	es	TANZANIA	
country_174	countries	es	TAYIKISTÁN	
country_175	countries	es	TIMOR ORIENTAL	
country_176	countries	es	TOGO	
country_177	countries	es	TONGA	
country_178	countries	es	TRINIDAD Y TOBAGO	
country_179	countries	es	TÚNEZ	
country_180	countries	es	TURKMENISTÁN	
country_181	countries	es	TURQUÍA	
country_182	countries	es	TUVALU	
country_183	countries	es	UCRANIA	
country_184	countries	es	UGANDA	
country_185	countries	es	URUGUAY	
country_186	countries	es	UZBEKISTÁN	
country_187	countries	es	VANUATU	
country_188	countries	es	VATICANO	
country_189	countries	es	VENEZUELA	
country_190	countries	es	VIETNAM	
country_191	countries	es	YEMEN	
country_192	countries	es	YIBUTI	
country_193	countries	es	ZAMBIA	
country_194	countries	es	ZIMBABUE	
country_195	countries	es	CHEQUIA	
city_001	cities	es	BUENOS AIRES	
city_002	cities	es	CÓRDOBA	
city_003	cities	es	ROSARIO	
city_004	cities	es	MENDOZA	
city_005	cities	es	MAR DEL PLATA	
city_006	cities	es	BARILOCHE	
city_007	cities	es	MONTEVIDEO	
city_008	cities	es	SANTIAGO	
city_009	cities	es	VALPARAÍSO	
city_010	cities	es	ASUNCIÓN	
city_011	cities	es	LA PAZ	
city_012	cities	es	SANTA CRUZ	
city_013	cities	es	LIMA	
city_014	cities	es	CUSCO	
city_015	cities	es	SÃO PAULO	
city_016	cities	es	RÍO DE JANEIRO	
city_017	cities	es	BRASILIA	
city_018	cities	es	SALVADOR	
city_019	cities	es	PORTO ALEGRE	
city_020	cities	es	BOGOTÁ	
city_021	cities	es	MEDELLÍN	
city_022	cities	es	CARTAGENA	
city_023	cities	es	CALI	
city_024	cities	es	QUITO	
city_025	cities	es	GUAYAQUIL	
city_026	cities	es	CARACAS	
city_027	cities	es	CIUDAD DE MÉXICO	
city_028	cities	es	GUADALAJARA	
city_029	cities	es	MONTERREY	
city_030	cities	es	CANCÚN	
city_031	cities	es	CIUDAD DE PANAMÁ	
city_032	cities	es	SAN JOSÉ	
city_033	cities	es	CIUDAD DE GUATEMALA	
city_034	cities	es	SAN SALVADOR	
city_035	cities	es	TEGUCIGALPA	
city_036	cities	es	MANAGUA	
city_037	cities	es	LA HABANA	
city_038	cities	es	SANTO DOMINGO	
city_039	cities	es	SAN JUAN	
city_040	cities	es	KINGSTON	
city_041	cities	es	NUEVA YORK	
city_042	cities	es	LOS ÁNGELES	
